,words
670,tell
671,whole
672,issue
673,relate
674,covid
675,still
676,even
677,acknowledge
678,happen
679,dangerous
680,back
681,february
682,even
683,tell
684,record
685,panic
686,look
687,stock
688,market
689,one
690,two
691,guess
692,lot
693,people
694,die
695,lot
696,die
697,unless
698,get
699,lot
700,smarter
701,lot
702,quicker
703,oh
704,give
705,break
706,well
707,debate
708,plan
709,run
710,plan
711,get
712,provide
713,business
714,ability
715,money
716,able
717,reopen
718,ppe
719,well
720,sanitation
721,need
722,provide
723,classic
724,shush
725,minute
726,nancy
727,pelosi
728,schumer
729,plan
730,even
731,meet
732,republican
733,meet
734,senate
735,sit
736,golf
737,course
738,well
739,mean
740,literally
741,admit
742,shut
743,get
744,respond
745,get
746,respond
747,like
748,rally
749,look
750,open
751,business
752,give
753,wherewithal
754,able
755,open
756,provide
757,money
758,well
759,mask
760,big
761,difference
762,head
763,cdc
764,wear
765,mask
766,everybody
767,wear
768,mask
769,social
770,distance
771,january
772,probably
773,save
774,live
775,matter
776,matter
777,serious
778,person
779,opposite
780,serious
781,person
782,opposite
783,one
784,last
785,big
786,rally
787,reporter
788,come
789,ask
790,question
791,stand
792,back
793,put
794,mask
795,put
796,mask
797,test
798,far
799,away
800,people
801,okay
802,worry
803,worry
804,people
805,crosstalk
806,negative
807,effect
808,come
809,yes
810,would
811,totally
812,irresponsible
813,handle
814,social
815,distance
816,people
817,wear
818,mask
819,basically
820,encourage
821,fool
822,difference
823,millionaire
824,billionaire
825,like
826,middle
827,covid
828,crisis
829,do
830,well
831,billionaire
832,another
833,billion
834,profligate
835,tax
836,proposal
837,focus
838,market
839,folk
840,home
841,folk
842,live
843,scranton
844,claymont
845,small
846,town
847,work
848,class
849,town
850,america
851,well
852,guy
853,pay
854,total
855,tax
856,get
857,time
858,back
859,fact
860,fact
861,work
862,first
863,president
864,unite
865,state
866,leave
867,office
868,fewer
869,job
870,administration
871,become
872,president
873,fewer
874,job
875,become
876,president
877,first
878,one
879,american
880,history
881,secondly
882,people
883,lose
884,job
885,people
886,front
887,line
888,people
889,save
890,live
891,people
892,die
893,people
894,put
895,sure
896,could
897,try
898,idea
899,insist
900,forward
901,open
902,almost
903,half
904,state
905,america
906,significant
907,increase
908,covid
909,death
910,covid
911,case
912,unite
913,state
914,america
915,open
916,open
917,care
918,fix
919,economy
920,fix
921,covid
922,crisis
923,intention
924,anything
925,better
926,home
927,term
928,health
929,safety
930,school
931,school
932,open
933,cost
934,lot
935,money
936,open
937,safely
938,give
939,administration
940,give
941,teacher
942,school
943,student
944,mask
945,decide
946,national
947,emergency
948,national
949,emergency
950,do
951,nothing
952,help
953,small
954,business
955,nothing
956,close
957,one
958,six
959,ought
960,get
961,job
962,care
963,need
964,american
965,people
966,open
967,safely
968,people
969,safe
970,people
971,safe
972,show
973,u
974,tax
975,return
976,show
977,u
978,tax
979,return
980,release
981,tax
982,return
983,crosstalk
984,yeah
985,respond
986,look
987,tax
988,code
989,put
990,position
991,pay
992,le
993,tax
994,money
995,school
996,teacher
997,smart
998,advantage
999,tax
1000,code
1001,advantage
1002,tax
1003,code
1004,eliminate
1005,trump
1006,tax
1007,cut
1008,eliminate
1009,tax
1010,cut
1011,sure
1012,invest
1013,people
1014,fact
1015,need
1016,help
1017,people
1018,need
1019,help
1020,president
1021,president
1022,screw
1023,worst
1024,president
1025,america
1026,ever
1027,come
1028,well
1029,look
1030,analysis
1031,do
1032,wall
1033,street
1034,firm
1035,point
1036,economic
1037,plan
1038,would
1039,create
1040,million
1041,job
1042,four
1043,year
1044,number
1045,one
1046,number
1047,two
1048,would
1049,create
1050,additional
1051,trillion
1052,economic
1053,growth
1054,would
1055,buy
1056,american
1057,federal
1058,government
1059,spend
1060,billion
1061,year
1062,everything
1063,ship
1064,steel
1065,build
1066,like
1067,proposal
1068,sure
1069,every
1070,penny
1071,company
1072,eliminate
1073,significant
1074,number
1075,tax
1076,corporate
1077,tax
1078,company
1079,federal
1080,mean
1081,fortune
1082,pay
1083,single
1084,penny
1085,tax
1086,billion
1087,dollar
1088,fact
1089,pas
1090,tax
1091,proposal
1092,yeah
1093,get
1094,do
1095,economy
1096,finish
1097,lower
1098,tax
1099,american
1100,people
1101,look
1102,inherit
1103,worst
1104,recession
1105,short
1106,depression
1107,american
1108,history
1109,ask
1110,bring
1111,back
1112,able
1113,economic
1114,recovery
1115,create
1116,job
1117,talk
