,words
664,sooner
665,political
666,people
667,like
668,would
669,rather
670,political
671,save
672,live
673,political
674,speak
675,pfizer
676,speak
677,people
678,speak
679,moderna
680,johnson
681,johnson
682,others
683,faster
684,lot
685,become
686,political
687,call
688,leave
689,call
690,disagree
691,disagree
692,could
693,could
694,also
695,much
696,sooner
697,office
698,two
699,day
700,ago
701,possibility
702,answer
703,november
704,could
705,also
706,well
707,deliver
708,right
709,away
710,military
711,set
712,logistically
713,set
714,military
715,deliver
716,soldier
717,day
718,deliver
719,set
720,sarcastically
721,sarcastically
722,vaccine
723,sooner
724,speak
725,scientist
726,charge
727,vaccine
728,soon
729,use
730,word
731,smart
732,delaware
733,state
734,forget
735,name
736,college
737,delaware
738,state
739,graduate
740,either
741,lowest
742,almost
743,lowest
744,class
745,ever
746,use
747,word
748,smart
749,ever
750,use
751,word
752,nothing
753,smart
754,joe
755,year
756,do
757,nothing
758,tell
759,something
760,joe
761,would
762,charge
763,put
764,close
765,greatest
766,economy
767,history
768,country
769,build
770,fast
771,okay
772,fast
773,look
774,forward
775,talk
776,tell
777,nancy
778,pelosi
779,tell
780,nancy
781,pelosi
782,schumer
783,crosstalk
784,chuck
785,probably
786,play
787,joe
788,well
789,shut
790,country
791,keep
792,open
793,great
794,shut
795,wait
796,minute
797,joe
798,shut
799,second
800,joe
801,one
802,second
803,shut
804,country
805,anything
806,disease
807,find
808,elderly
809,people
810,heart
811,problem
812,diabetes
813,different
814,problem
815,vulnerable
816,learn
817,lot
818,young
819,child
820,even
821,younger
822,people
823,learn
824,lot
825,shut
826,people
827,hurt
828,continue
829,look
830,pennsylvania
831,look
832,certain
833,state
834,shut
835,democrat
836,governor
837,one
838,reason
839,shut
840,keep
841,shut
842,election
843,november
844,political
845,state
846,state
847,well
848,shut
849,right
850,shut
851,whole
852,country
853,mask
854,okay
855,understand
856,mean
857,mask
858,right
859,put
860,mask
861,need
862,tonight
863,example
864,everybody
865,test
866,social
867,distance
868,wear
869,mask
870,need
871,need
872,wear
873,mask
874,wear
875,mask
876,like
877,every
878,time
879,get
880,mask
881,could
882,speak
883,foot
884,away
885,show
886,biggest
887,mask
888,ever
889,also
890,opposite
891,also
892,dr
893,fauci
894,dr
895,fauci
896,opposite
897,strongly
898,mask
899,good
900,change
901,mind
902,mask
903,good
904,okay
905,mask
906,fight
907,mask
908,outside
909,nobody
910,show
911,well
912,true
913,nobody
914,show
915,rally
916,people
917,hear
918,mean
919,job
920,president
921,people
922,show
923,airport
924,use
925,airport
926,hanger
927,lot
928,people
929,well
930,far
931,problem
932,whatsoever
933,outside
934,big
935,difference
936,accord
937,expert
938,outside
939,tremendous
940,crowd
941,literally
942,hour
943,notice
944,joe
945,circle
946,three
947,people
948,someplace
949,negative
950,effect
951,negative
952,effect
953,people
954,rally
955,could
956,get
957,crowd
958,would
959,do
960,nobody
961,care
962,care
963,yes
964,much
965,faster
966,build
967,greatest
968,economy
969,history
970,close
971,china
972,plague
973,plague
974,come
975,close
976,hard
977,psychologically
978,close
979,wrong
980,two
981,million
982,people
983,would
984,dead
985,instead
986,still
987,people
988,much
989,one
990,person
991,much
992,never
993,happen
994,china
995,happen
996,close
997,reopen
998,record
999,business
1000,million
1001,people
1002,four
1003,month
1004,period
1005,put
1006,back
1007,workforce
1008,record
1009,like
1010,nobody
1011,ever
1012,close
1013,shut
1014,destroy
1015,country
1016,lot
1017,people
1018,drug
1019,alcohol
1020,depression
1021,start
1022,shut
1023,look
1024,happen
1025,democratrun
1026,state
1027,tough
1028,shutdown
1029,tell
1030,open
1031,one
1032,come
1033,last
1034,week
1035,saw
1036,oh
1037,open
1038,november
1039,november
1040,election
1041,hurt
1042,u
1043,keep
1044,close
1045,hurt
1046,people
1047,people
1048,social
1049,distance
1050,wash
1051,hand
1052,wear
1053,mask
1054,whatever
1055,get
1056,open
1057,state
1058,look
